"Territory","Population Value (Sum)","Victims Value","Stereotypes about gender roles","Degree of agreement","Stereotypes values"
"Piemonte",3094724,722,"women can provoke sexual violence by how they dress","strongly agree",5.3
"Piemonte",3094724,722,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",10.7
"Piemonte",3094724,722,"serious women don’t get raped","strongly agree",1.2
"Piemonte",3094724,722,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.8
"Piemonte",3094724,722,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",1
"Piemonte",3094724,722,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",3.5
"Piemonte",3094724,722,"often accusations of sexual violence are false","strongly agree",1.1
"Piemonte",3094724,722,"women can provoke sexual violence by how they dress","somewhat agree",20.7
"Piemonte",3094724,722,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",26.7
"Piemonte",3094724,722,"serious women don’t get raped","somewhat agree",3.5
"Piemonte",3094724,722,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",0.8
"Piemonte",3094724,722,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",5.6
"Piemonte",3094724,722,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",12.7
"Piemonte",3094724,722,"often accusations of sexual violence are false","somewhat agree",11.6
"Piemonte",3094724,722,"women can provoke sexual violence by how they dress","somewhat disagree",19.6
"Piemonte",3094724,722,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",25.5
"Piemonte",3094724,722,"serious women don’t get raped","somewhat disagree",7.3
"Piemonte",3094724,722,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",3.9
"Piemonte",3094724,722,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",15.5
"Piemonte",3094724,722,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",11.9
"Piemonte",3094724,722,"often accusations of sexual violence are false","somewhat disagree",29.4
"Piemonte",3094724,722,"women can provoke sexual violence by how they dress","strongly disagree",50.6
"Piemonte",3094724,722,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",31.5
"Piemonte",3094724,722,"serious women don’t get raped","strongly disagree",83.6
"Piemonte",3094724,722,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",90.5
"Piemonte",3094724,722,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",67.6
"Piemonte",3094724,722,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",66.5
"Piemonte",3094724,722,"often accusations of sexual violence are false","strongly disagree",49
"Valle d'Aosta / Vallée d'Aoste",90297,10,"women can provoke sexual violence by how they dress","strongly agree",5.5
"Valle d'Aosta / Vallée d'Aoste",90297,10,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",10.5
"Valle d'Aosta / Vallée d'Aoste",90297,10,"serious women don’t get raped","strongly agree",1.4
"Valle d'Aosta / Vallée d'Aoste",90297,10,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.6
"Valle d'Aosta / Vallée d'Aoste",90297,10,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",1.1
"Valle d'Aosta / Vallée d'Aoste",90297,10,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",2.8
"Valle d'Aosta / Vallée d'Aoste",90297,10,"often accusations of sexual violence are false","strongly agree",0.9
"Valle d'Aosta / Vallée d'Aoste",90297,10,"women can provoke sexual violence by how they dress","somewhat agree",17.4
"Valle d'Aosta / Vallée d'Aoste",90297,10,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",30.5
"Valle d'Aosta / Vallée d'Aoste",90297,10,"serious women don’t get raped","somewhat agree",3.3
"Valle d'Aosta / Vallée d'Aoste",90297,10,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",0.4
"Valle d'Aosta / Vallée d'Aoste",90297,10,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",7
"Valle d'Aosta / Vallée d'Aoste",90297,10,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",9.5
"Valle d'Aosta / Vallée d'Aoste",90297,10,"often accusations of sexual violence are false","somewhat agree",9.7
"Valle d'Aosta / Vallée d'Aoste",90297,10,"women can provoke sexual violence by how they dress","somewhat disagree",22.8
"Valle d'Aosta / Vallée d'Aoste",90297,10,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",24.2
"Valle d'Aosta / Vallée d'Aoste",90297,10,"serious women don’t get raped","somewhat disagree",6
"Valle d'Aosta / Vallée d'Aoste",90297,10,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",4.9
"Valle d'Aosta / Vallée d'Aoste",90297,10,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",11.6
"Valle d'Aosta / Vallée d'Aoste",90297,10,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",12.6
"Valle d'Aosta / Vallée d'Aoste",90297,10,"often accusations of sexual violence are false","somewhat disagree",28.6
"Valle d'Aosta / Vallée d'Aoste",90297,10,"women can provoke sexual violence by how they dress","strongly disagree",48.1
"Valle d'Aosta / Vallée d'Aoste",90297,10,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",26.2
"Valle d'Aosta / Vallée d'Aoste",90297,10,"serious women don’t get raped","strongly disagree",81.9
"Valle d'Aosta / Vallée d'Aoste",90297,10,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",88.1
"Valle d'Aosta / Vallée d'Aoste",90297,10,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",67.5
"Valle d'Aosta / Vallée d'Aoste",90297,10,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",68.8
"Valle d'Aosta / Vallée d'Aoste",90297,10,"often accusations of sexual violence are false","strongly disagree",47.8
"Liguria",1082776,234,"women can provoke sexual violence by how they dress","strongly agree",2.4
"Liguria",1082776,234,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",7.5
"Liguria",1082776,234,"serious women don’t get raped","strongly agree",0.5
"Liguria",1082776,234,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",1.4
"Liguria",1082776,234,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",1.1
"Liguria",1082776,234,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",1.3
"Liguria",1082776,234,"often accusations of sexual violence are false","strongly agree",0.6
"Liguria",1082776,234,"women can provoke sexual violence by how they dress","somewhat agree",12.6
"Liguria",1082776,234,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",20.6
"Liguria",1082776,234,"serious women don’t get raped","somewhat agree",1.8
"Liguria",1082776,234,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",0.6
"Liguria",1082776,234,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",5.5
"Liguria",1082776,234,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",6.2
"Liguria",1082776,234,"often accusations of sexual violence are false","somewhat agree",7.7
"Liguria",1082776,234,"women can provoke sexual violence by how they dress","somewhat disagree",20.3
"Liguria",1082776,234,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",30.1
"Liguria",1082776,234,"serious women don’t get raped","somewhat disagree",5.6
"Liguria",1082776,234,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",1.7
"Liguria",1082776,234,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",9.6
"Liguria",1082776,234,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",14.5
"Liguria",1082776,234,"often accusations of sexual violence are false","somewhat disagree",34.8
"Liguria",1082776,234,"women can provoke sexual violence by how they dress","strongly disagree",57.1
"Liguria",1082776,234,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",32.7
"Liguria",1082776,234,"serious women don’t get raped","strongly disagree",85.2
"Liguria",1082776,234,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",89.8
"Liguria",1082776,234,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",72.2
"Liguria",1082776,234,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",70.5
"Liguria",1082776,234,"often accusations of sexual violence are false","strongly disagree",42.9
"Lombardia",7195634,1415,"women can provoke sexual violence by how they dress","strongly agree",4.5
"Lombardia",7195634,1415,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",10.6
"Lombardia",7195634,1415,"serious women don’t get raped","strongly agree",1.4
"Lombardia",7195634,1415,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.5
"Lombardia",7195634,1415,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",0.4
"Lombardia",7195634,1415,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",2.3
"Lombardia",7195634,1415,"often accusations of sexual violence are false","strongly agree",1.2
"Lombardia",7195634,1415,"women can provoke sexual violence by how they dress","somewhat agree",16.7
"Lombardia",7195634,1415,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",26.1
"Lombardia",7195634,1415,"serious women don’t get raped","somewhat agree",3.7
"Lombardia",7195634,1415,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",1.4
"Lombardia",7195634,1415,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",5.9
"Lombardia",7195634,1415,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",13.4
"Lombardia",7195634,1415,"often accusations of sexual violence are false","somewhat agree",8.3
"Lombardia",7195634,1415,"women can provoke sexual violence by how they dress","somewhat disagree",22.5
"Lombardia",7195634,1415,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",25.1
"Lombardia",7195634,1415,"serious women don’t get raped","somewhat disagree",8.6
"Lombardia",7195634,1415,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",5
"Lombardia",7195634,1415,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",13.9
"Lombardia",7195634,1415,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",11.9
"Lombardia",7195634,1415,"often accusations of sexual violence are false","somewhat disagree",31.4
"Lombardia",7195634,1415,"women can provoke sexual violence by how they dress","strongly disagree",52.7
"Lombardia",7195634,1415,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",31.3
"Lombardia",7195634,1415,"serious women don’t get raped","strongly disagree",82.1
"Lombardia",7195634,1415,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",89.3
"Lombardia",7195634,1415,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",69.4
"Lombardia",7195634,1415,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",67.8
"Lombardia",7195634,1415,"often accusations of sexual violence are false","strongly disagree",48.5
"Trentino Alto Adige / Südtirol",763018,116,"women can provoke sexual violence by how they dress","strongly agree",6.1
"Trentino Alto Adige / Südtirol",763018,116,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",13
"Trentino Alto Adige / Südtirol",763018,116,"serious women don’t get raped","strongly agree",1.8
"Trentino Alto Adige / Südtirol",763018,116,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.5
"Trentino Alto Adige / Südtirol",763018,116,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",1.4
"Trentino Alto Adige / Südtirol",763018,116,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",3.6
"Trentino Alto Adige / Südtirol",763018,116,"often accusations of sexual violence are false","strongly agree",2.1
"Trentino Alto Adige / Südtirol",763018,116,"women can provoke sexual violence by how they dress","somewhat agree",19.7
"Trentino Alto Adige / Südtirol",763018,116,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",27.2
"Trentino Alto Adige / Südtirol",763018,116,"serious women don’t get raped","somewhat agree",3.7
"Trentino Alto Adige / Südtirol",763018,116,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",1.5
"Trentino Alto Adige / Südtirol",763018,116,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",7.1
"Trentino Alto Adige / Südtirol",763018,116,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",10.4
"Trentino Alto Adige / Südtirol",763018,116,"often accusations of sexual violence are false","somewhat agree",12.2
"Trentino Alto Adige / Südtirol",763018,116,"women can provoke sexual violence by how they dress","somewhat disagree",22
"Trentino Alto Adige / Südtirol",763018,116,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",26.6
"Trentino Alto Adige / Südtirol",763018,116,"serious women don’t get raped","somewhat disagree",11.4
"Trentino Alto Adige / Südtirol",763018,116,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",3.9
"Trentino Alto Adige / Südtirol",763018,116,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",12.1
"Trentino Alto Adige / Südtirol",763018,116,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",12.7
"Trentino Alto Adige / Südtirol",763018,116,"often accusations of sexual violence are false","somewhat disagree",27.4
"Trentino Alto Adige / Südtirol",763018,116,"women can provoke sexual violence by how they dress","strongly disagree",45.3
"Trentino Alto Adige / Südtirol",763018,116,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",23.4
"Trentino Alto Adige / Südtirol",763018,116,"serious women don’t get raped","strongly disagree",74
"Trentino Alto Adige / Südtirol",763018,116,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly disagree",85.7
"Trentino Alto Adige / Südtirol",763018,116,"faced with a sexual proposal,women often say no but in reality mean yes","strongly disagree",67
"Trentino Alto Adige / Südtirol",763018,116,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly disagree",63.5
"Trentino Alto Adige / Südtirol",763018,116,"often accusations of sexual violence are false","strongly disagree",42.8
"Veneto",3524197,632,"women can provoke sexual violence by how they dress","strongly agree",7.7
"Veneto",3524197,632,"women who don’t want to have a sexual intercourse are able to avoid it","strongly agree",15.4
"Veneto",3524197,632,"serious women don’t get raped","strongly agree",2.4
"Veneto",3524197,632,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","strongly agree",0.5
"Veneto",3524197,632,"faced with a sexual proposal,women often say no but in reality mean yes","strongly agree",1.8
"Veneto",3524197,632,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","strongly agree",5.4
"Veneto",3524197,632,"often accusations of sexual violence are false","strongly agree",2.2
"Veneto",3524197,632,"women can provoke sexual violence by how they dress","somewhat agree",17.6
"Veneto",3524197,632,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat agree",27
"Veneto",3524197,632,"serious women don’t get raped","somewhat agree",3.9
"Veneto",3524197,632,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat agree",1.7
"Veneto",3524197,632,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat agree",5.1
"Veneto",3524197,632,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat agree",11.4
"Veneto",3524197,632,"often accusations of sexual violence are false","somewhat agree",7.9
"Veneto",3524197,632,"women can provoke sexual violence by how they dress","somewhat disagree",19.7
"Veneto",3524197,632,"women who don’t want to have a sexual intercourse are able to avoid it","somewhat disagree",18.2
"Veneto",3524197,632,"serious women don’t get raped","somewhat disagree",9.6
"Veneto",3524197,632,"if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","somewhat disagree",4.9
"Veneto",3524197,632,"faced with a sexual proposal,women often say no but in reality mean yes","somewhat disagree",13.2
"Veneto",3524197,632,"if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","somewhat disagree",11.4
"Veneto",3524197,632,"often accusations of sexual violence are false","somewhat disagree",29.7
"Veneto",3524197,632,"women can provoke sexual violence by how they dress","strongly disagree",49.9
"Veneto",3524197,632,"women who don’t want to have a sexual intercourse are able to avoid it","strongly disagree",31.4
