"Territory","Population Value (Sum)","Victims Value","Behaviours regarding intimate partner","OPINIONI_B","Degree of acceptability","Behaviours Value"
"Piemonte",3094724,722,"a young man slaps his girlfriend because she flirted with another man","ALWACC","always acceptable",0.6
"Piemonte",3094724,722,"in a couple’s relationship,it is normal that a slap might occasionally occur","ALWACC","always acceptable",0
"Piemonte",3094724,722,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ALWACC","always acceptable",0.3
"Piemonte",3094724,722,"a young man slaps his girlfriend because she flirted with another man","ACUNDCIR","acceptable under certain circumstances",6.8
"Piemonte",3094724,722,"in a couple’s relationship,it is normal that a slap might occasionally occur","ACUNDCIR","acceptable under certain circumstances",3.1
"Piemonte",3094724,722,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ACUNDCIR","acceptable under certain circumstances",11.3
"Piemonte",3094724,722,"a young man slaps his girlfriend because she flirted with another man","NEVACC","never acceptable",90.9
"Piemonte",3094724,722,"in a couple’s relationship,it is normal that a slap might occasionally occur","NEVACC","never acceptable",95.5
"Piemonte",3094724,722,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NEVACC","never acceptable",86.8
"Piemonte",3094724,722,"a young man slaps his girlfriend because she flirted with another man","NOANSW","not answered",1.6
"Piemonte",3094724,722,"in a couple’s relationship,it is normal that a slap might occasionally occur","NOANSW","not answered",1.4
"Piemonte",3094724,722,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NOANSW","not answered",1.7
"Piemonte",3094724,722,"a young man slaps his girlfriend because she flirted with another man","TOT","total",100
"Piemonte",3094724,722,"in a couple’s relationship,it is normal that a slap might occasionally occur","TOT","total",100
"Piemonte",3094724,722,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","TOT","total",100
"Valle d'Aosta / Vallée d'Aoste",90297,10,"a young man slaps his girlfriend because she flirted with another man","ALWACC","always acceptable",0.3
"Valle d'Aosta / Vallée d'Aoste",90297,10,"in a couple’s relationship,it is normal that a slap might occasionally occur","ALWACC","always acceptable",0.2
"Valle d'Aosta / Vallée d'Aoste",90297,10,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ALWACC","always acceptable",0.4
"Valle d'Aosta / Vallée d'Aoste",90297,10,"a young man slaps his girlfriend because she flirted with another man","ACUNDCIR","acceptable under certain circumstances",5.2
"Valle d'Aosta / Vallée d'Aoste",90297,10,"in a couple’s relationship,it is normal that a slap might occasionally occur","ACUNDCIR","acceptable under certain circumstances",1.8
"Valle d'Aosta / Vallée d'Aoste",90297,10,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ACUNDCIR","acceptable under certain circumstances",12
"Valle d'Aosta / Vallée d'Aoste",90297,10,"a young man slaps his girlfriend because she flirted with another man","NEVACC","never acceptable",91.2
"Valle d'Aosta / Vallée d'Aoste",90297,10,"in a couple’s relationship,it is normal that a slap might occasionally occur","NEVACC","never acceptable",95.6
"Valle d'Aosta / Vallée d'Aoste",90297,10,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NEVACC","never acceptable",84.9
"Valle d'Aosta / Vallée d'Aoste",90297,10,"a young man slaps his girlfriend because she flirted with another man","NOANSW","not answered",3.3
"Valle d'Aosta / Vallée d'Aoste",90297,10,"in a couple’s relationship,it is normal that a slap might occasionally occur","NOANSW","not answered",2.3
"Valle d'Aosta / Vallée d'Aoste",90297,10,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NOANSW","not answered",2.6
"Valle d'Aosta / Vallée d'Aoste",90297,10,"a young man slaps his girlfriend because she flirted with another man","TOT","total",100
"Valle d'Aosta / Vallée d'Aoste",90297,10,"in a couple’s relationship,it is normal that a slap might occasionally occur","TOT","total",100
"Valle d'Aosta / Vallée d'Aoste",90297,10,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","TOT","total",100
"Liguria",1082776,234,"a young man slaps his girlfriend because she flirted with another man","ALWACC","always acceptable",0.8
"Liguria",1082776,234,"in a couple’s relationship,it is normal that a slap might occasionally occur","ALWACC","always acceptable",1.2
"Liguria",1082776,234,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ALWACC","always acceptable",0.3
"Liguria",1082776,234,"a young man slaps his girlfriend because she flirted with another man","ACUNDCIR","acceptable under certain circumstances",8.4
"Liguria",1082776,234,"in a couple’s relationship,it is normal that a slap might occasionally occur","ACUNDCIR","acceptable under certain circumstances",2.6
"Liguria",1082776,234,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","ACUNDCIR","acceptable under certain circumstances",12.6
"Liguria",1082776,234,"a young man slaps his girlfriend because she flirted with another man","NEVACC","never acceptable",87.9
"Liguria",1082776,234,"in a couple’s relationship,it is normal that a slap might occasionally occur","NEVACC","never acceptable",93.6
"Liguria",1082776,234,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NEVACC","never acceptable",84.2
"Liguria",1082776,234,"a young man slaps his girlfriend because she flirted with another man","NOANSW","not answered",2.8
"Liguria",1082776,234,"in a couple’s relationship,it is normal that a slap might occasionally occur","NOANSW","not answered",2.6
"Liguria",1082776,234,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","NOANSW","not answered",2.9
"Liguria",1082776,234,"a young man slaps his girlfriend because she flirted with another man","TOT","total",100
"Liguria",1082776,234,"in a couple’s relationship,it is normal that a slap might occasionally occur","TOT","total",100
"Liguria",1082776,234,"a man habitually control his wife’s/partner’s mobile phone and activities on social media","TOT","total",100
"Lombardia",7195634,1415,"a young man slaps his girlfriend because she flirted with another man","ALWACC","always acceptable",0.2
"Lombardia",7195634,1415,"in a couple’s relationship,it is normal that a slap might occasionally occur","ALWACC","always acceptable",0.3
