"Territory","Possible causes","Causes Value (%)","Population Value","Victims per 100.000 inhabitants (%)"
"Piemonte","difficulty in managing anger",70.9,4328565,16.68
"Piemonte","considering women to be property",78.5,4328565,16.68
"Piemonte","having negative experiences of family violence as a child",62.4,4328565,16.68
"Piemonte","religious reasons",36.6,4328565,16.68
"Piemonte","not standing women’s empowerment",64.4,4328565,16.68
"Piemonte","abuse of drugs or alcohol",72.9,4328565,16.68
"Piemonte","need to feel superior than one’s partner/wife",75,4328565,16.68
"Valle d'Aosta / Vallée d'Aoste","difficulty in managing anger",72.7,125653,7.96
"Valle d'Aosta / Vallée d'Aoste","considering women to be property",76.1,125653,7.96
"Valle d'Aosta / Vallée d'Aoste","having negative experiences of family violence as a child",64.3,125653,7.96
"Valle d'Aosta / Vallée d'Aoste","religious reasons",35.8,125653,7.96
"Valle d'Aosta / Vallée d'Aoste","not standing women’s empowerment",56.7,125653,7.96
"Valle d'Aosta / Vallée d'Aoste","abuse of drugs or alcohol",75.3,125653,7.96
"Valle d'Aosta / Vallée d'Aoste","need to feel superior than one’s partner/wife",74.3,125653,7.96
"Liguria","difficulty in managing anger",70.2,1532980,15.26
"Liguria","considering women to be property",76.1,1532980,15.26
"Liguria","having negative experiences of family violence as a child",61.8,1532980,15.26
"Liguria","religious reasons",39.8,1532980,15.26
"Liguria","not standing women’s empowerment",62.6,1532980,15.26
"Liguria","abuse of drugs or alcohol",72.5,1532980,15.26
"Liguria","need to feel superior than one’s partner/wife",69.2,1532980,15.26
"Lombardia","difficulty in managing anger",71.2,10010833,14.13
"Lombardia","considering women to be property",80.2,10010833,14.13
"Lombardia","having negative experiences of family violence as a child",62.4,10010833,14.13
"Lombardia","religious reasons",37.6,10010833,14.13
"Lombardia","not standing women’s empowerment",61.5,10010833,14.13
"Lombardia","abuse of drugs or alcohol",78.9,10010833,14.13
"Lombardia","need to feel superior than one’s partner/wife",78.3,10010833,14.13
"Trentino Alto Adige / Südtirol","difficulty in managing anger",70.7,1074034,10.89
"Trentino Alto Adige / Südtirol","considering women to be property",77.7,1074034,10.89
"Trentino Alto Adige / Südtirol","having negative experiences of family violence as a child",64.6,1074034,10.89
"Trentino Alto Adige / Südtirol","religious reasons",42.5,1074034,10.89
"Trentino Alto Adige / Südtirol","not standing women’s empowerment",62.8,1074034,10.89
"Trentino Alto Adige / Südtirol","abuse of drugs or alcohol",79.4,1074034,10.89
"Trentino Alto Adige / Südtirol","need to feel superior than one’s partner/wife",73.9,1074034,10.89
"Veneto","difficulty in managing anger",67.7,4884590,12.94
"Veneto","considering women to be property",76,4884590,12.94
