"Territory","Gender","Victims per 100.000 inhabitants (%)"
"Piemonte","total",16.68
"Valle d'Aosta / Vallée d'Aoste","total",7.96
"Liguria","total",15.26
"Lombardia","total",14.13
"Trentino Alto Adige / Südtirol","total",10.89
"Veneto","total",12.94
"Friuli-Venezia Giulia","total",10.91
"Emilia-Romagna","total",11.71
"Toscana","total",15.48
"Umbria","total",13.51
"Marche","total",15.13
"Lazio","total",21.34
"Abruzzo","total",17.22
"Molise","total",7.9
"Campania","total",17.25
"Puglia","total",15.37
"Basilicata","total",10.56
"Calabria","total",10.15
"Sicilia","total",11.51
"Sardegna","total",14.92
