"ITTER107","Territory","TIPO_DATO_VIOLENZA","Data type","SEXISTAT1","Gender","ETA1","Age class","STEREOTIPI","Stereotypes about gender roles, behaviours regarding intimate partner","OPINIONI_A","Degree of agreement","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","Y30-44","30-44 years","WPROVSEX","women can provoke sexual violence by how they dress","STRAGR","strongly agree","2018","2018",6.3,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","Y30-44","30-44 years","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","STRAGR","strongly agree","2018","2018",13,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","Y30-44","30-44 years","SEWNRAP","serious women don’t get raped","STRAGR","strongly agree","2018","2018",1.9,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","Y30-44","30-44 years","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","STRAGR","strongly agree","2018","2018",0.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","Y30-44","30-44 years","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","STRAGR","strongly agree","2018","2018",1.8,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","Y30-44","30-44 years","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","STRAGR","strongly agree","2018","2018",4.4,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","Y30-44","30-44 years","OACVIF","often accusations of sexual violence are false","STRAGR","strongly agree","2018","2018",2.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","Y30-44","30-44 years","WPROVSEX","women can provoke sexual violence by how they dress","STRAGR","strongly agree","2018","2018",6.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","Y30-44","30-44 years","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","STRAGR","strongly agree","2018","2018",11.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","Y30-44","30-44 years","SEWNRAP","serious women don’t get raped","STRAGR","strongly agree","2018","2018",0.7,,
