"ITTER107","Territory","TIPO_DATO_VIOLENZA","Data type","SEXISTAT1","Gender","TITOLO_STUDIO","Educational level","STEREOTIPI","Stereotypes about gender roles, behaviours regarding intimate partner","OPINIONI_A","Degree of agreement","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","STRAGR","strongly agree","2018","2018",7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","STRAGR","strongly agree","2018","2018",14,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","SEWNRAP","serious women don’t get raped","STRAGR","strongly agree","2018","2018",2.5,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","STRAGR","strongly agree","2018","2018",0.8,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","STRAGR","strongly agree","2018","2018",1.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","STRAGR","strongly agree","2018","2018",3.8,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","OACVIF","often accusations of sexual violence are false","STRAGR","strongly agree","2018","2018",2,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","STRAGR","strongly agree","2018","2018",6.8,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","STRAGR","strongly agree","2018","2018",11.4,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","SEWNRAP","serious women don’t get raped","STRAGR","strongly agree","2018","2018",1.9,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","STRAGR","strongly agree","2018","2018",0.6,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","STRAGR","strongly agree","2018","2018",1.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","STRAGR","strongly agree","2018","2018",3.2,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","OACVIF","often accusations of sexual violence are false","STRAGR","strongly agree","2018","2018",1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","STRAGR","strongly agree","2018","2018",6.9,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","STRAGR","strongly agree","2018","2018",12.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","SEWNRAP","serious women don’t get raped","STRAGR","strongly agree","2018","2018",2.2,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","STRAGR","strongly agree","2018","2018",0.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","STRAGR","strongly agree","2018","2018",1.4,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","STRAGR","strongly agree","2018","2018",3.5,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","OACVIF","often accusations of sexual violence are false","STRAGR","strongly agree","2018","2018",1.5,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","SOMAGR","somewhat agree","2018","2018",16.8,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","SOMAGR","somewhat agree","2018","2018",27.9,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","SEWNRAP","serious women don’t get raped","SOMAGR","somewhat agree","2018","2018",4.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","SOMAGR","somewhat agree","2018","2018",1.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","SOMAGR","somewhat agree","2018","2018",7.4,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","SOMAGR","somewhat agree","2018","2018",12,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","OACVIF","often accusations of sexual violence are false","SOMAGR","somewhat agree","2018","2018",10.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","SOMAGR","somewhat agree","2018","2018",17.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","SOMAGR","somewhat agree","2018","2018",25.3,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","SEWNRAP","serious women don’t get raped","SOMAGR","somewhat agree","2018","2018",3.4,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","SOMAGR","somewhat agree","2018","2018",1.2,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","SOMAGR","somewhat agree","2018","2018",4.3,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","SOMAGR","somewhat agree","2018","2018",11.3,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","OACVIF","often accusations of sexual violence are false","SOMAGR","somewhat agree","2018","2018",6.9,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","SOMAGR","somewhat agree","2018","2018",17,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","SOMAGR","somewhat agree","2018","2018",26.6,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","SEWNRAP","serious women don’t get raped","SOMAGR","somewhat agree","2018","2018",4,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","SOMAGR","somewhat agree","2018","2018",1.2,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","SOMAGR","somewhat agree","2018","2018",5.8,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","SOMAGR","somewhat agree","2018","2018",11.6,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","OACVIF","often accusations of sexual violence are false","SOMAGR","somewhat agree","2018","2018",8.8,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","SOMDISAG","somewhat disagree","2018","2018",22.6,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","SOMDISAG","somewhat disagree","2018","2018",24,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","SEWNRAP","serious women don’t get raped","SOMDISAG","somewhat disagree","2018","2018",10.2,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","SOMDISAG","somewhat disagree","2018","2018",5.2,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","SOMDISAG","somewhat disagree","2018","2018",15.4,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","SOMDISAG","somewhat disagree","2018","2018",12.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","OACVIF","often accusations of sexual violence are false","SOMDISAG","somewhat disagree","2018","2018",32.8,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","SOMDISAG","somewhat disagree","2018","2018",19.3,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","SOMDISAG","somewhat disagree","2018","2018",25.4,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","SEWNRAP","serious women don’t get raped","SOMDISAG","somewhat disagree","2018","2018",6.9,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","SOMDISAG","somewhat disagree","2018","2018",4.2,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","SOMDISAG","somewhat disagree","2018","2018",11.8,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","SOMDISAG","somewhat disagree","2018","2018",12.3,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","OACVIF","often accusations of sexual violence are false","SOMDISAG","somewhat disagree","2018","2018",29,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","SOMDISAG","somewhat disagree","2018","2018",20.9,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","SOMDISAG","somewhat disagree","2018","2018",24.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","SEWNRAP","serious women don’t get raped","SOMDISAG","somewhat disagree","2018","2018",8.5,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","SOMDISAG","somewhat disagree","2018","2018",4.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","SOMDISAG","somewhat disagree","2018","2018",13.6,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","SOMDISAG","somewhat disagree","2018","2018",12.5,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","OACVIF","often accusations of sexual violence are false","SOMDISAG","somewhat disagree","2018","2018",30.9,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","STRODIS","strongly disagree","2018","2018",48.3,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","STRODIS","strongly disagree","2018","2018",26.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","SEWNRAP","serious women don’t get raped","STRODIS","strongly disagree","2018","2018",76.5,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","STRODIS","strongly disagree","2018","2018",87.2,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","STRODIS","strongly disagree","2018","2018",62.3,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","STRODIS","strongly disagree","2018","2018",65,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","OACVIF","often accusations of sexual violence are false","STRODIS","strongly disagree","2018","2018",42.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","STRODIS","strongly disagree","2018","2018",52.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","STRODIS","strongly disagree","2018","2018",30.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","SEWNRAP","serious women don’t get raped","STRODIS","strongly disagree","2018","2018",82.8,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","STRODIS","strongly disagree","2018","2018",89,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","STRODIS","strongly disagree","2018","2018",72.3,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","STRODIS","strongly disagree","2018","2018",66.9,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","OACVIF","often accusations of sexual violence are false","STRODIS","strongly disagree","2018","2018",53.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","STRODIS","strongly disagree","2018","2018",50.2,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","STRODIS","strongly disagree","2018","2018",28.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","SEWNRAP","serious women don’t get raped","STRODIS","strongly disagree","2018","2018",79.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","STRODIS","strongly disagree","2018","2018",88.1,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","STRODIS","strongly disagree","2018","2018",67.4,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","STRODIS","strongly disagree","2018","2018",66,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","T","total","ALL","total","OACVIF","often accusations of sexual violence are false","STRODIS","strongly disagree","2018","2018",47.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","NOANSW","not answered","2018","2018",5.3,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","NOANSW","not answered","2018","2018",8,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","SEWNRAP","serious women don’t get raped","NOANSW","not answered","2018","2018",6.2,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","HUSFNVIO","if a husband/partner forces his wife/partner to have sex against her will,it isn’t sexual violence","NOANSW","not answered","2018","2018",5.7,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WOFSREM","faced with a sexual proposal,women often say no but in reality mean yes","NOANSW","not answered","2018","2018",13.3,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","WSVADRE","if a woman suffers sexual violence when she is affected by alcohol or drugs,she is at least partially responsible","NOANSW","not answered","2018","2018",6.5,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","M","males","ALL","total","OACVIF","often accusations of sexual violence are false","NOANSW","not answered","2018","2018",12.4,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WPROVSEX","women can provoke sexual violence by how they dress","NOANSW","not answered","2018","2018",4.6,,
"IT","Italy","P18_74_AGVIOL","people aged 18-74 years by degree of agreement with some stereotypes on sexual violence (%)","F","females","ALL","total","WABLAVO","women who don’t want to have a sexual intercourse are able to avoid it","NOANSW","not answered","2018","2018",7.8,,
