"ITTER107","Territory","TIPO_DATO_VIOLENZA","Data type","SEXISTAT1","Gender","MOTIVOPS1","Possible causes","TIME","Select time","Value","Flag Codes","Flags"
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","DIFMAN","difficulty in managing anger","2018","2018",66.4,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","DIFMAN","difficulty in managing anger","2018","2018",74.6,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","DIFMAN","difficulty in managing anger","2018","2018",70.6,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","CONWPR","considering women to be property","2018","2018",70.4,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","CONWPR","considering women to be property","2018","2018",84.9,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","CONWPR","considering women to be property","2018","2018",77.7,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEGEXF","having negative experiences of family violence as a child","2018","2018",60.1,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEGEXF","having negative experiences of family violence as a child","2018","2018",67.1,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEGEXF","having negative experiences of family violence as a child","2018","2018",63.7,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","RELREA","religious reasons","2018","2018",33.5,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","RELREA","religious reasons","2018","2018",34,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","RELREA","religious reasons","2018","2018",33.8,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NOSTWEM","not standing women’s empowerment","2018","2018",55.2,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NOSTWEM","not standing women’s empowerment","2018","2018",69.9,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NOSTWEM","not standing women’s empowerment","2018","2018",62.6,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","ABDRALC","abuse of drugs or alcohol","2018","2018",74,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","ABDRALC","abuse of drugs or alcohol","2018","2018",77,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","ABDRALC","abuse of drugs or alcohol","2018","2018",75.5,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",68.5,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",81.3,,
"IT","Italy","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",75,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","DIFMAN","difficulty in managing anger","2018","2018",67.3,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","DIFMAN","difficulty in managing anger","2018","2018",74.7,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","DIFMAN","difficulty in managing anger","2018","2018",71,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","CONWPR","considering women to be property","2018","2018",73,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","CONWPR","considering women to be property","2018","2018",85.5,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","CONWPR","considering women to be property","2018","2018",79.3,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEGEXF","having negative experiences of family violence as a child","2018","2018",60.5,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEGEXF","having negative experiences of family violence as a child","2018","2018",64.2,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEGEXF","having negative experiences of family violence as a child","2018","2018",62.4,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","RELREA","religious reasons","2018","2018",37.2,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","RELREA","religious reasons","2018","2018",37.8,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","RELREA","religious reasons","2018","2018",37.5,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NOSTWEM","not standing women’s empowerment","2018","2018",55.4,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NOSTWEM","not standing women’s empowerment","2018","2018",69.2,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NOSTWEM","not standing women’s empowerment","2018","2018",62.4,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","ABDRALC","abuse of drugs or alcohol","2018","2018",76.9,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","ABDRALC","abuse of drugs or alcohol","2018","2018",76.5,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","ABDRALC","abuse of drugs or alcohol","2018","2018",76.7,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",70.7,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",82.2,,
"ITC","Nord-ovest","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",76.5,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","DIFMAN","difficulty in managing anger","2018","2018",70.9,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","DIFMAN","difficulty in managing anger","2018","2018",70.9,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","DIFMAN","difficulty in managing anger","2018","2018",70.9,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","CONWPR","considering women to be property","2018","2018",72.5,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","CONWPR","considering women to be property","2018","2018",84.4,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","CONWPR","considering women to be property","2018","2018",78.5,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEGEXF","having negative experiences of family violence as a child","2018","2018",60.1,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NEGEXF","having negative experiences of family violence as a child","2018","2018",64.6,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NEGEXF","having negative experiences of family violence as a child","2018","2018",62.4,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","RELREA","religious reasons","2018","2018",35.5,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","RELREA","religious reasons","2018","2018",37.7,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","RELREA","religious reasons","2018","2018",36.6,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NOSTWEM","not standing women’s empowerment","2018","2018",59.6,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","NOSTWEM","not standing women’s empowerment","2018","2018",69.2,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","NOSTWEM","not standing women’s empowerment","2018","2018",64.4,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","ABDRALC","abuse of drugs or alcohol","2018","2018",73,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","F","females","ABDRALC","abuse of drugs or alcohol","2018","2018",72.7,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","T","total","ABDRALC","abuse of drugs or alcohol","2018","2018",72.9,,
"ITC1","Piemonte","P18_74_INCAUS","people aged 18-74 years by indication of some causes of intimate partner violence (per 100 persons with the same characteristics)","M","males","NEFESUP","need to feel superior than one’s partner/wife","2018","2018",68.6,,
